id_svsa_50k,nome,mae,sexo,dt_nasc,cod_munic_res
2722,DAVI LUIZ SOUSA VIANA,ANA VITORIA MACHADO VIANA,1,1979-10-22,291080
2723,PEDRO LUCAS CAVALCANTI MARTINS,BIANCA LIMA MARTINS,1,1994-07-12,312880
2724,LARISSA SOUZA DAS NEVES,BRUNA VASCONCELOS DAS NEVES,2,2008-05-07,312270
2725,ARTHUR BARROS OLIVEIRA,MARIA HELENA DA LUZ CARDOSO OLIVEIRA,1,1997-10-13,421710
2726,OLIVIA FONSECA MACHADO,ANA JULIA ALMEIDA MACHADO,2,1996-08-11,171500
2727,MARIA PIMENTA VASCONCELOS,ANA CAROLINA ALMEIDA VASCONCELOS,2,2006-12-10,410770
2728,MIGUEL TEIXEIRA AZEVEDO,CAROLINA ABREU AZEVEDO,1,1974-11-16,410050
2729,THALES SOUSA FONSECA,MANUELA CASSIANO FONSECA,1,2006-06-12,330250
2730,ANA BEATRIZ MOREIRA FREITAS,GIOVANNA RIBEIRO FREITAS,2,1998-06-01,293250
2731,JOAO GUILHERME ARAGAO DA CUNHA,ANA LUIZA DA ROCHA MONTEIRO DA CUNHA,1,2001-09-09,317130
2732,BELLA DAS NEVES RODRIGUES PEREIRA,MARIANE ARAGAO PEREIRA,2,1989-03-16,293317
2733,MIGUEL ANDRADE MONTENEGRO,ANA LAURA GARCIA MONTENEGRO,1,2008-05-25,311060
2734,LEANDRO NOVAES CAMPOS,ANA SOPHIA CORREIA CAMPOS,1,2004-09-30,311030
2735,LAVINIA COSTA RIBEIRO,MARIA HELENA CAMARGO RIBEIRO,2,1993-02-27,250190
2736,BIANCA SA SOUSA,CECILIA DA ROCHA DA COSTA SOUSA,2,2002-11-16,330310
2737,HELENA BARROS SIQUEIRA,MAITE ABREU SIQUEIRA,2,2017-08-08,421205
2738,HELOISA MENDONCA COSTELA,CECILIA MONTEIRO COSTELA,2,2022-10-31,291080
2739,CAIO CAMPOS PIMENTA,JULIANA DAS NEVES CAVALCANTE PIMENTA,1,1976-01-25,412770
2740,ALLANA SOUZA SA,MARIA PIRES SA,2,2008-08-21,355030
2741,MARIA LUIZA GARCIA PIRES,LUISA DA COSTA MONTEIRO PIRES,2,1982-04-04,320225
2742,JOSE PEDRO VIEIRA PIRES,ANA CECILIA CORREIA PIRES,1,1995-08-04,261090
2743,MARCELA RAMOS CAMARA,MARIANA PINTO CAMARA,2,1973-03-20,315100
2744,MARIAH CALDEIRA GARCIA,BIANCA CASTRO GARCIA,2,2009-10-07,431750
2745,AGATHA RODRIGUES OLIVEIRA,EVELYN CORREIA OLIVEIRA,2,2019-10-26,315220
2746,FERNANDO SOUZA CUNHA,PIETRA PASTOR CUNHA,1,1978-12-28,170740
2747,MARIA FLOR CARVALHO GUERRA,STELLA GONCALVES GUERRA,2,2002-10-19,150013
2748,LUIZ OTAVIO PEIXOTO ARAUJO,MARIANA SALES ARAUJO,1,1998-12-24,241080
2749,ANTHONY GABRIEL GONCALVES CASSIANO,LAURA CAVALCANTI CASSIANO,1,1974-08-10,420140
2750,SOFIA LIMA CAMPOS,AMANDA DIAS CAMPOS,2,2015-01-08,231140
2751,FERNANDO ABREU FERREIRA,MELINA BARBOSA FERREIRA,1,2001-03-21,421350
2752,ANTONY CASTRO TEIXEIRA,MAYA MONTENEGRO TEIXEIRA,1,2014-04-28,310050
2753,ELOA CASSIANO ALMEIDA,MARIA MACHADO ALMEIDA,2,2006-04-08,110045
2754,DAVI MORAES DA CUNHA,AMANDA DA ROCHA ARAGAO DA CUNHA,1,2012-03-19,320340
2755,ELOAH RAMOS REZENDE,MILENA ARAGAO REZENDE,2,1982-02-22,211250
2756,ISABELLY VARGAS CAMPOS,ANA VITORIA DA CONCEICAO FOGACA CAMPOS,2,1991-04-10,420420
2757,ANA LIZ PIMENTA PORTO,MARIA EDUARDA FOGACA PORTO,2,2003-11-07,351080
2758,PEDRO MIGUEL SOUZA GARCIA,ISABEL GARCIA GARCIA,1,1990-11-23,170900
2759,BRENO COSTELA GARCIA,SOPHIE CAMARA GARCIA,1,1970-12-27,311020
2760,JOAO FELIPE GONCALVES NASCIMENTO,SARA MONTENEGRO NASCIMENTO,1,1996-09-10,291040
2761,MARIA EDUARDA SILVEIRA DA CRUZ,ANA SOPHIA ABREU DA CRUZ,2,1989-04-28,330480
2762,NOAH DUARTE DA CONCEICAO,RAQUEL ARAUJO DA CONCEICAO,1,2006-08-20,230260
2763,LUCAS GABRIEL SA PASTOR,LIZ MOREIRA PASTOR,1,2016-10-28,293080
2764,DIEGO FOGACA VIEIRA,SARAH LIMA VIEIRA,1,2016-09-05,330470
2765,PEDRO HENRIQUE DA MOTA REZENDE DA LUZ,MARIA CECILIA DA MOTA DA ROCHA DA LUZ,1,1983-02-22,231320
2766,JOAO FELIPE DA PAZ DA MATA ARAGAO,HADASSA COSTELA ARAGAO,1,1991-01-24,351730
2767,LEANDRO NOVAIS MARTINS,EDUARDA PIMENTA MARTINS,1,1982-01-24,350945
2768,BARBARA CUNHA SA,ANTONELLA AZEVEDO SA,2,2020-12-08,240580
2769,CECILIA NOGUEIRA REZENDE,MAYSA GONCALVES REZENDE,2,1971-01-30,510617
2770,LORENZO LOPES SILVA,SOFIA COSTA SILVA,1,2000-09-29,350530
2771,MARINA CARDOSO AZEVEDO,LUIZA ABREU AZEVEDO,2,1994-05-01,292335
2772,HELLENA MACHADO FARIAS,ANA CAROLINA REZENDE FARIAS,2,1992-03-07,312090
2773,YAN ABREU CARDOSO,MILENA FERNANDES CARDOSO,1,2016-12-23,353550
2774,MAYSA DA CONCEICAO MORAES MARQUES,MARIA CECILIA VIEIRA MARQUES,2,2003-06-28,410040
2775,CLARICE MARQUES ROCHA,LUNA MONTENEGRO ROCHA,2,1980-09-28,316070
2776,DAVI MIGUEL REZENDE SIQUEIRA,NATALIA LOPES SIQUEIRA,1,2005-03-27,230185
2777,MATTEO FARIAS CASTRO,ANA CLARA CAMARA CASTRO,1,2001-05-02,355030
2778,HELENA DA MATA BRITO MONTENEGRO,LARISSA FOGACA MONTENEGRO,2,1989-09-05,350040
2779,RAUL COSTA ANDRADE,SOPHIA ALBUQUERQUE ANDRADE,1,2010-04-27,315960
2780,LUAN PASTOR NASCIMENTO,LUARA PIMENTA NASCIMENTO,1,1994-12-19,412140
2781,ARTHUR NOGUEIRA VIEIRA,MILENA CUNHA VIEIRA,1,1972-10-14,260310
2782,LAURA VASCONCELOS DA ROSA,BIANCA PIMENTA DA ROSA,2,2006-09-14,320140
2783,NATHAN BARROS COSTA,MARINA CORREIA COSTA,1,2008-04-22,411690
2784,MARIA SOPHIA CIRINO PINTO,LAURA NUNES PINTO,2,1984-06-07,314560
2785,BRENDA DIAS LIMA,ISABEL CAMARA LIMA,2,1973-11-03,412600
2786,LEO CAVALCANTI MOURA,RAFAELA DIAS MOURA,1,1986-11-04,230945
2787,GIOVANNA RIBEIRO ANDRADE,ANTONELLA GOMES ANDRADE,2,2010-07-05,290070
2788,VITOR MOURA DIAS,HELLENA VARGAS DIAS,1,2015-04-20,411710
2789,ALICE ANDRADE NOGUEIRA,MARIA ALICE MENDONCA NOGUEIRA,2,2006-03-18,353230
2790,OLIVER DA ROSA PINTO DA CONCEICAO,VITORIA PEIXOTO DA CONCEICAO,1,1986-06-18,421520
2791,VALENTIM MELO CIRINO,ANA LIVIA DA MOTA RIOS CIRINO,1,1979-09-15,520280
2792,GUSTAVO HENRIQUE ARAGAO BRITO,BELLA NASCIMENTO BRITO,1,1984-05-30,231180
2793,DAVI NUNES PACHECO,EMANUELLY SANTOS PACHECO,1,2012-10-28,171525
2794,BEATRIZ FERNANDES SILVA,ANA BEATRIZ COSTELA SILVA,2,2023-11-30,291130
2795,RYAN COSTA LIMA,ESTER SIQUEIRA LIMA,1,2005-02-22,150730
2796,MARIANA RIBEIRO CASA GRANDE,MARIA LAURA MARQUES CASA GRANDE,2,2021-03-26,290930
2797,HENRIQUE CALDEIRA BORGES,CAMILA SIQUEIRA BORGES,1,2017-03-31,240485
2798,BARBARA MONTEIRO ANDRADE,HADASSA RIBEIRO ANDRADE,2,2005-04-27,352330
2799,LUIZA PORTO CASTRO,CAMILA FOGACA CASTRO,2,2001-01-18,411345
2800,JOAO LUCAS ANDRADE OLIVEIRA,ANA LIZ DA ROCHA VASCONCELOS OLIVEIRA,1,1971-08-15,241410
2801,ANTONIO PIRES COSTA,AYLLA DUARTE COSTA,1,2017-05-14,313720
2802,IAN SILVA OLIVEIRA,MARIA LAURA FARIAS OLIVEIRA,1,2014-09-07,110149
2803,EDUARDO SOUZA FREITAS,AGATHA MENDONCA FREITAS,1,1991-07-06,260210
2804,OLIVIA CAVALCANTE SOUSA,MARIANE REZENDE SOUSA,2,2009-10-14,291400
2805,LORENA DA MATA DUARTE COSTA,MARIA ISIS ARAUJO COSTA,2,2023-12-26,420545
2806,BENICIO RIBEIRO FONSECA,MELISSA NOVAIS FONSECA,1,1979-10-14,412795
2807,ISIS LOPES OLIVEIRA,ZOE BARROS OLIVEIRA,2,1971-08-12,260640
2808,PAULO MACEDO REZENDE,ALANA DA CUNHA PEREIRA REZENDE,1,1971-08-11,251120
2809,GABRIELA APARECIDA MOURA,LUANA CAMPOS MOURA,2,1984-05-23,316840
2810,RAEL DA CONCEICAO MENDES ARAGAO,ANA JULIA DA LUZ JESUS ARAGAO,1,2010-05-09,353180
2811,LUNNA DA CONCEICAO DA MATA PEIXOTO,ANA CUNHA PEIXOTO,2,2013-01-06,230600
2812,ENRICO COSTELA PINTO,MARIA ALICE RIBEIRO PINTO,1,1995-12-11,320100
2813,ELISA MACEDO VASCONCELOS,RAFAELA DA ROCHA ABREU VASCONCELOS,2,2018-11-11,230075
2814,LORENA CAVALCANTI DA MATA,LIZ TEIXEIRA DA MATA,2,1981-11-08,210390
2815,HENRIQUE LIMA PEREIRA,AURORA DUARTE PEREIRA,1,1986-01-18,311370
2816,MANUELA ARAUJO CALDEIRA,MANUELA DA CUNHA SILVA CALDEIRA,2,2013-02-20,330540
2817,RODRIGO CASTRO MENDES,LUANA SALES MENDES,1,1976-01-31,352680
2818,RAVI LUCCA SIQUEIRA LOPES,NINA PINTO LOPES,1,2022-09-11,520945
2819,BENJAMIN ALVES DA ROCHA,ELISA NUNES DA ROCHA,1,1998-04-18,230410
2820,HENRY GABRIEL PEIXOTO RAMOS,AYLA DA CUNHA PEREIRA RAMOS,1,1992-10-30,230500
2821,VITOR HUGO SILVA DA LUZ,ALICIA SILVA DA LUZ,1,2005-01-21,231090
2822,EMANUELLA CAMPOS SANTOS,ALICE SIQUEIRA SANTOS,2,1977-06-04,355030
2823,ANA LAURA CAVALCANTI CAMARGO,ESTER COSTA CAMARGO,2,2016-06-14,510180
2824,EMANUELLA FOGACA VARGAS,ANA JULIA GONCALVES VARGAS,2,1974-09-24,270040
2825,ZOE ALVES CASA GRANDE,CECILIA PORTO CASA GRANDE,2,2006-09-26,430655
2826,MARIA JULIA SILVA RAMOS,AMANDA FERNANDES RAMOS,2,2019-01-09,431395
2827,LUIZ OTAVIO DA COSTA SAMPAIO MOURA,MILENA SOUZA MOURA,1,1992-03-21,270640
2828,ESTHER DA MOTA COSTA CARDOSO,BRENDA PIRES CARDOSO,2,2004-02-20,521380
2829,REBECA MELO DA MATA,SARA DA PAZ CASTRO DA MATA,2,2020-06-01,280130
2830,RYAN DA LUZ DA ROCHA PEIXOTO,HELOISA SANTOS PEIXOTO,1,1972-06-02,150180
2831,MARCELA ARAGAO DUARTE,BELLA NASCIMENTO DUARTE,2,1998-12-09,411980
2832,EMANUELLA REZENDE NASCIMENTO,LIZ REZENDE NASCIMENTO,2,1991-08-20,310380
2833,MARIA SOPHIA SANTOS NASCIMENTO,ALANA CAMPOS NASCIMENTO,2,1971-07-24,170040
2834,NOAH CAMPOS ALVES,MARIA ALICE GOMES ALVES,1,2020-07-03,240100
2835,RAFAELA GONCALVES CORREIA,PIETRA FREITAS CORREIA,2,1979-05-28,313160
2836,ANTHONY GUERRA COSTELA,NICOLE GOMES COSTELA,1,2014-07-17,412015
2837,LUARA CARVALHO GARCIA,ISABELLY CASSIANO GARCIA,2,2015-09-20,330100
2838,GUILHERME BARROS RIOS,LIVIA CARDOSO RIOS,1,2014-05-21,291090
2839,LEO PORTO TEIXEIRA,MARINA MORAES TEIXEIRA,1,2016-05-21,411980
2840,DANILO ALVES LOPES,AGATHA VARGAS LOPES,1,1992-05-12,520790
2841,CAROLINA CAVALCANTI BRITO,CECILIA VARGAS BRITO,2,1984-12-25,220820
2842,KAIQUE CORREIA DA COSTA,PIETRA FARIAS DA COSTA,1,2007-09-29,330510
2843,MARIA SILVEIRA NOGUEIRA,LAURA DIAS NOGUEIRA,2,1978-04-30,260105
2844,HENRY GABRIEL MACEDO PINTO,RAFAELA LIMA PINTO,1,2017-08-21,431175
2845,JOAO VITOR CAVALCANTE PINTO,ISABEL GOMES PINTO,1,1991-02-26,240970
2846,OTAVIO FERNANDES LOPES,NATALIA RIOS LOPES,1,1983-09-11,420945
2847,HADASSA MOURA SIQUEIRA,OLIVIA ABREU SIQUEIRA,2,2007-01-09,430495
2848,MARIA CLARA BRITO CAVALCANTI,MARIANA GUERRA CAVALCANTI,2,1985-08-28,293100
2849,ANTHONY CASSIANO PINTO,ESTHER FONSECA PINTO,1,1977-09-25,210330
2850,MELISSA AZEVEDO DAS NEVES,ALANA DA CUNHA DA MATA DAS NEVES,2,1976-11-15,521690
2851,FRANCISCO SILVA DA CONCEICAO,JULIA TEIXEIRA DA CONCEICAO,1,1996-06-10,220525
2852,BRUNA MENDONCA MOURA,LORENA TEIXEIRA MOURA,2,2001-10-24,260220
2853,LUISA LEAO CASA GRANDE,EVELYN CASTRO CASA GRANDE,2,1988-11-01,290280
2854,NATHAN SOUZA GONCALVES,PIETRA DA ROSA GUERRA GONCALVES,1,1988-01-22,250485
2855,MARINA CARDOSO MARTINS,OLIVIA CAMPOS MARTINS,2,1982-01-01,291580
2856,JUAN CARVALHO CUNHA,ANA JULIA CASTRO CUNHA,1,1992-01-31,312850
2857,MELINA TEIXEIRA MACHADO,ALEXIA SA MACHADO,2,1977-12-12,431848
2858,CALEBE DA CONCEICAO CASTRO MARTINS,MARIA ISIS FERREIRA MARTINS,1,1971-12-24,260180
2859,BELLA SILVA MELO,AMANDA CASSIANO MELO,2,1986-05-03,230730
2860,ANA LIZ GOMES MOURA,ANA LAURA CAVALCANTI MOURA,2,2017-10-31,280530
2861,MARIA LAURA VARGAS SILVA,ANA VITORIA PIMENTA SILVA,2,1979-02-10,354930
2862,ELOA MENDES PINTO,MARIA LAURA PEREIRA PINTO,2,1984-01-31,260392
2863,SABRINA CAMPOS MACHADO,BEATRIZ DAS NEVES PIRES MACHADO,2,2018-07-19,230750
2864,JOAO GUILHERME SAMPAIO BORGES,ALLANA PEREIRA BORGES,1,2017-11-13,231180
2865,BEATRIZ MARTINS BARBOSA,CAROLINE CAVALCANTE BARBOSA,2,2000-11-02,412740
2866,LUIZA NOGUEIRA ALMEIDA,GABRIELA COSTA ALMEIDA,2,1989-08-08,315445
2867,NICOLAS MACHADO ALVES,ALANA NOVAIS ALVES,1,1972-08-06,320120
2868,GAEL HENRIQUE GUERRA CAMARGO,NATALIA ARAUJO CAMARGO,1,1981-09-01,330090
2869,BARBARA DA ROCHA CALDEIRA PEREIRA,MAYSA ARAUJO PEREIRA,2,2004-09-23,251398
2870,PAULO VARGAS FERREIRA,MAYA CIRINO FERREIRA,1,1970-07-04,171420
2871,THALES VASCONCELOS ANDRADE,ANA LUIZA BRITO ANDRADE,1,1994-04-14,330030
2872,NICOLAS CAVALCANTI CAVALCANTI,AYLLA RODRIGUES CAVALCANTI,1,1995-12-29,231110
2873,ELOAH DA ROCHA NOVAIS CALDEIRA,CECILIA DA PAZ CUNHA CALDEIRA,2,2000-05-06,353205
2874,ALANA FERNANDES AZEVEDO,ANA SOPHIA DA MOTA PIRES AZEVEDO,2,1989-05-26,432380
2875,NATHAN DA LUZ DA MOTA RODRIGUES,ELOAH DA MATA BORGES RODRIGUES,1,1986-07-15,314400
2876,CECILIA NUNES VIANA,LAURA DA ROCHA VARGAS VIANA,2,1987-08-12,510040
2877,JOSUE ABREU SILVEIRA,SOPHIA RAMOS SILVEIRA,1,1982-07-22,430673
2878,BEATRIZ VARGAS ARAGAO,MAITE DA COSTA PEIXOTO ARAGAO,2,2012-08-20,421567
2879,ANA CLARA CUNHA FREITAS,JULIA OLIVEIRA FREITAS,2,2020-07-02,430450
2880,SARAH RIOS FERNANDES,CAROLINA SOUZA FERNANDES,2,1984-10-10,316800
2881,CAUA MARTINS ARAGAO,ANA LIVIA MOURA ARAGAO,1,2010-01-31,314435
2882,LUNA DA LUZ REZENDE SALES,ALEXIA NOVAES SALES,2,1986-04-06,310670
2883,RAFAELA CORREIA LEAO,MARIANE ROCHA LEAO,2,2000-10-23,431860
2884,LAVINIA VARGAS FARIAS,HADASSA TEIXEIRA FARIAS,2,1986-04-14,292820
2885,ANA CECILIA MENDONCA GUERRA,EDUARDA GOMES GUERRA,2,1981-09-24,430890
2886,DANILO CAMPOS TEIXEIRA,ISIS PEIXOTO TEIXEIRA,1,2017-07-13,313670
2887,LORENA VIEIRA DAS NEVES,LORENA MACEDO DAS NEVES,2,1977-04-12,311700
2888,GABRIELLY CAVALCANTE GOMES,ANA CLARA CAMARGO GOMES,2,2010-08-08,510805
2889,MILENA REZENDE COSTELA,ESTER FERREIRA COSTELA,2,2008-07-10,315220
2890,MIGUEL PINTO FONSECA,LIZ RIOS FONSECA,1,1998-01-07,430511
2891,ALICIA PIMENTA BRITO,LUNA NOVAES BRITO,2,2024-03-25,431410
2892,LARA GONCALVES MONTEIRO,PIETRA CASTRO MONTEIRO,2,2020-01-02,290420
2893,MARIAH GOMES CARDOSO,JULIA RAMOS CARDOSO,2,1994-04-15,353530
2894,ANTONIO NOGUEIRA CARDOSO,LUNNA TEIXEIRA CARDOSO,1,1987-07-18,410540
2895,IAN DIAS OLIVEIRA,RAQUEL FERNANDES OLIVEIRA,1,1975-02-17,430610
2896,JULIA REZENDE SOUSA,ANA CLARA JESUS SOUSA,2,1980-01-06,354120
2897,MARIA CLARA ROCHA TEIXEIRA,MARIANE PIMENTA TEIXEIRA,2,2006-07-27,351160
2898,OLIVER ROCHA DA ROSA,ISABEL DA MATA SAMPAIO DA ROSA,1,2003-09-14,430410
2899,CAUA LIMA DA MOTA,LUIZA PORTO DA MOTA,1,2014-06-13,431244
2900,VITOR GABRIEL GONCALVES LOPES,ISABELLA LIMA LOPES,1,1991-08-03,521160
2901,HADASSA PEREIRA MACHADO,ALLANA FREITAS MACHADO,2,1981-03-02,510760
2902,ANTONY PACHECO FONSECA,MARINA DA CONCEICAO DA MOTA FONSECA,1,1991-01-30,290660
2903,ARTHUR CAMARA RIOS,MARIA ALICE DUARTE RIOS,1,2023-04-23,352340
2904,ANTONY VIANA NASCIMENTO,CLARICE MONTENEGRO NASCIMENTO,1,1985-02-09,230530
2905,DAVI LUCCA DA CRUZ ALBUQUERQUE PIMENTA,MILENA VIANA PIMENTA,1,2014-03-18,410840
2906,RAUL CAMARA FREITAS,NICOLE ALMEIDA FREITAS,1,1999-06-21,160070
2907,DANIEL COSTELA DA ROSA,AGATHA NOGUEIRA DA ROSA,1,1978-08-20,351535
2908,CALEBE SILVEIRA BARROS,GIOVANNA CAMPOS BARROS,1,1979-12-20,290680
2909,AUGUSTO SIQUEIRA FARIAS,SOFIA ALVES FARIAS,1,1994-02-05,260765
2910,PIETRA SIQUEIRA DA ROCHA,MARINA SA DA ROCHA,2,1999-02-18,311547
2911,KAMILLY PORTO FOGACA,SABRINA VIEIRA FOGACA,2,1979-10-20,291370
2912,ALANA LIMA CIRINO,HELOISA MACEDO CIRINO,2,1999-04-09,210405
2913,SOPHIA PACHECO RODRIGUES,EMILLY DAS NEVES DUARTE RODRIGUES,2,2023-11-24,291640
2914,CECILIA NOVAES DA CUNHA,ANA CLARA PIMENTA DA CUNHA,2,2009-11-05,293000
2915,RENAN FOGACA DA COSTA,MARIA ALICE MARQUES DA COSTA,1,2011-08-26,290190
2916,BIANCA CAMPOS LOPES,MAYSA LIMA LOPES,2,1997-04-18,170930
2917,LIAM DAS NEVES MELO MARTINS,MARIA LAURA MACEDO MARTINS,1,1979-12-14,313520
2918,THIAGO NOVAIS CAVALCANTE,AYLLA LEAO CAVALCANTE,1,2020-08-10,312660
2919,ANA LIVIA CASSIANO MARQUES,RAFAELA FARIAS MARQUES,2,1993-11-28,521880
2920,LUNA NOGUEIRA ABREU,BARBARA CARVALHO ABREU,2,2020-02-09,260410
2921,ISAAC DA MOTA ALMEIDA DIAS,OLIVIA CAVALCANTE DIAS,1,1985-02-08,311700
2922,MELISSA DA ROCHA DA MOTA DA MATA,ISADORA GUERRA DA MATA,2,1987-05-01,310800
2923,ANA LUIZA BARBOSA NOGUEIRA,ANA CAROLINA CASTRO NOGUEIRA,2,2007-05-06,260580
2924,DIOGO MONTENEGRO SAMPAIO,HELOISA GONCALVES SAMPAIO,1,2018-04-09,313370
2925,CALEB ARAUJO FERREIRA,PIETRA PORTO FERREIRA,1,1971-06-21,293080
2926,DAVI LUIZ DAS NEVES JESUS PEREIRA,LAIS ARAUJO PEREIRA,1,1970-10-28,432250
2927,MAITE COSTA DA COSTA,MARINA CORREIA DA COSTA,2,2016-02-25,410940
2928,FRANCISCO COSTELA COSTELA,SARAH LEAO COSTELA,1,1997-12-07,412100
2929,KAIQUE SILVEIRA SOUSA,ANA JULIA CUNHA SOUSA,1,1974-05-05,231290
2930,MANUELA FERREIRA GUERRA,LUNNA LIMA GUERRA,2,1993-11-24,421555
2931,MARIA JULIA PINTO MENDONCA,BIANCA CORREIA MENDONCA,2,2014-06-20,260580
2932,ELISA BARBOSA ALMEIDA,NINA DA CONCEICAO PIMENTA ALMEIDA,2,2021-05-14,411155
2933,MARIA EDUARDA DA CUNHA SIQUEIRA SILVA,ISIS VARGAS SILVA,2,1985-09-02,520010
2934,THIAGO GARCIA LOPES,MARIANA FARIAS LOPES,1,1972-05-22,430676
2935,HELOISA VASCONCELOS NASCIMENTO,ANTONELLA DA ROSA DA CRUZ NASCIMENTO,2,2012-07-10,315765
2936,VITOR SILVA TEIXEIRA,LUISA MARTINS TEIXEIRA,1,2004-01-14,355385
2937,DANIELA RODRIGUES CAMPOS,MARINA PORTO CAMPOS,2,2012-08-03,510520
2938,LUCAS GABRIEL LIMA ABREU,CLARICE FARIAS ABREU,1,1979-01-29,251080
2939,RAEL CASA GRANDE NUNES,ELISA ARAUJO NUNES,1,2014-01-07,412800
2940,ANA CLARA MONTEIRO GARCIA,AGATHA BARBOSA GARCIA,2,1982-03-23,260720
2941,MAYA FARIAS CASSIANO,BARBARA CAMPOS CASSIANO,2,2007-07-21,411520
2942,NATALIA MARTINS SIQUEIRA,LARA CARVALHO SIQUEIRA,2,2010-10-29,510455
2943,MIRELLA RIBEIRO MOREIRA,ISABELA CASTRO MOREIRA,2,2023-05-18,292490
2944,VINICIUS ARAGAO SA,ANA LIZ FONSECA SA,1,1997-04-29,420740
2945,APOLLO CARVALHO NOVAES,ALLANA DIAS NOVAES,1,1995-01-29,313700
2946,MARIA ALICE VIANA MARTINS,ANA BEATRIZ SALES MARTINS,2,1998-05-22,320470
2947,MARIA CLARA PASTOR FONSECA,ANA BEATRIZ MENDONCA FONSECA,2,1991-08-28,320305
2948,DAVI LUCAS GUERRA MENDONCA,ANA JULIA COSTELA MENDONCA,1,1981-11-16,351000
2949,SOPHIE LIMA FREITAS,CAMILA ANDRADE FREITAS,2,1974-01-20,430605
2950,LORENA CAMARA MORAES,BARBARA DA LUZ DA CUNHA MORAES,2,1987-11-15,410820
2951,OLIVIA NOVAES SOUSA,CAROLINE DIAS SOUSA,2,2019-11-24,150150
2952,THEO MELO CAMPOS,ANNA LIZ NUNES CAMPOS,1,1989-07-16,421210
2953,VICENTE NOGUEIRA GUERRA,SOPHIE TEIXEIRA GUERRA,1,2014-02-11,315410
2954,BRAYAN CASTRO BORGES,MANUELA BARBOSA BORGES,1,2002-01-29,220785
2955,DANTE PEIXOTO MELO,CECILIA DUARTE MELO,1,2022-07-19,313130
2956,LUIZ HENRIQUE RAMOS REZENDE,ANA JULIA RIBEIRO REZENDE,1,2001-07-04,251590
2957,LARISSA DUARTE MELO,HELOISA CARVALHO MELO,2,1982-05-11,411295
2958,JOAO PEDRO GUERRA CASSIANO,ELOAH DAS NEVES CALDEIRA CASSIANO,1,1985-07-29,231270
2959,MARIA VITORIA SIQUEIRA ARAUJO,ANA RIOS ARAUJO,2,2008-10-09,500370
2960,ANTONY MONTENEGRO LEAO,ALLANA LEAO LEAO,1,1971-11-24,421555
2961,EVELYN VIANA ALVES,ANA CAROLINA NOVAIS ALVES,2,1975-07-12,330510
2962,SOFIA SILVA SALES,ELOA CORREIA SALES,2,2016-05-09,353870
2963,NICOLAS BORGES MELO,LUISA ANDRADE MELO,1,2016-01-26,312490
2964,DOM FREITAS DA COSTA,MARCELA CASTRO DA COSTA,1,1989-12-19,280730
2965,STELLA MONTEIRO NOVAES,SOPHIA COSTELA NOVAES,2,1999-08-17,230540
2966,RAVY DA MATA DA LUZ VARGAS,FERNANDA SILVEIRA VARGAS,1,2008-02-21,350630
2967,DOM MACEDO SOUZA,MILENA ANDRADE SOUZA,1,2016-03-28,150280
2968,MARIA FERNANDA CASA GRANDE SA,GABRIELLY BORGES SA,2,2001-10-27,431440
2969,CATARINA PEIXOTO CIRINO,JULIA JESUS CIRINO,2,1985-01-09,320120
2970,OLIVER DUARTE CUNHA,ANNA LIZ DA ROCHA CAVALCANTE CUNHA,1,1982-05-29,520017
2971,ISABEL VASCONCELOS PINTO,MARIA FLOR VIANA PINTO,2,2002-01-04,431171
2972,JOSE REZENDE DA CRUZ,ANA JULIA RIOS DA CRUZ,1,2002-09-11,316410
2973,THALES LIMA CAMARA,MARIA LUIZA ARAUJO CAMARA,1,2014-03-05,320290
2974,PIETRO NOGUEIRA PORTO,GABRIELA PORTO PORTO,1,2013-11-29,353625
2975,GUILHERME CAMARGO CALDEIRA,SABRINA CASTRO CALDEIRA,1,2016-06-24,420430
2976,IGOR CARVALHO MACEDO,MARIANE NOVAES MACEDO,1,2000-09-04,430190
2977,AYLLA MARQUES CAVALCANTE,BARBARA CARVALHO CAVALCANTE,2,1971-10-21,320225
2978,GUILHERME DUARTE CASSIANO,ISIS CALDEIRA CASSIANO,1,1997-09-22,251430
2979,MARIA SOPHIA MACHADO GARCIA,ALEXIA CAMARA GARCIA,2,1990-01-22,290620
2980,ANDRE CALDEIRA PEREIRA,SOFIA RAMOS PEREIRA,1,2018-07-14,230700
2981,AMANDA FOGACA SALES,MARIA FERNANDA SIQUEIRA SALES,2,1995-01-19,220060
2982,THEODORO BARROS PASTOR,BRUNA CASTRO PASTOR,1,1983-01-20,350840
2983,ANA LIZ PINTO MOURA,BEATRIZ LOPES MOURA,2,2008-01-24,292303
2984,VALENTINA SA JESUS,MARIA LAURA VASCONCELOS JESUS,2,2021-05-26,350960
2985,BARBARA PEIXOTO NOVAES,ZOE BORGES NOVAES,2,2008-09-06,240933
2986,LAIS VASCONCELOS FERREIRA,EDUARDA FREITAS FERREIRA,2,1972-04-28,241320
2987,RAEL VARGAS ALMEIDA,MARIA FLOR CASTRO ALMEIDA,1,2020-07-24,220277
2988,ANA VITORIA PIMENTA LOPES,MARIA VITORIA RIBEIRO LOPES,2,1986-02-14,355510
2989,LAURA ROCHA NASCIMENTO,MAYA PIRES NASCIMENTO,2,2012-04-25,315400
2990,MARIA ALICE ANDRADE PEIXOTO,ELISA ALVES PEIXOTO,2,1979-03-15,210590
