id,nome,mae,sexo,cod_munic_res,dt_nasc
10694,Arthur Gabriel da Mota CAMPOS Pinto,Isabelly Abreu Pinto,M,411460905,1982-04-07
10695,Luiza Novais Rios,Sofia Guerra Rios,F,431261720,1984-03-24
10696,Ana Clara Novais Albuquerque,Ana Cecília Mendonça Albuquerque,F,291080035,1974-10-21
10697,Manuella Peixoto Moraes,Stella Nogueira Moraes,F,510510110,1991-12-14
10698,Ester da Paz MENDONÇA Machado,Laura Barbosa Machado,F,420960705,1986-09-08
10699,Esther Martins Costa,Beatriz Ferreira Costa,F,311030107,2006-06-03
10700,Theodoro Pereira da Cunha,Maria Barros da Cunha,M,320320523,1997-06-05
10701,Emanuel Aparecida Machado,Maria Júlia da Luz GOMES Machado,M,350840505,2009-03-11
10702,Evelyn Novais da Cruz,Brenda Duarte da Cruz,F,220860105,2004-10-23
10703,Ana Liz Pacheco Silva,Giovanna Novaes Silva,F,310560816,2017-11-29
10704,Pedro Câmara da Mota,Pietra Pimenta da Mota,M,431740015,2007-04-29
10705,Heloísa Moraes da Luz,Maria Moura da Luz,F,353286805,1980-04-08
10706,Helena Sá Rodrigues,Allana Brito Rodrigues,F,171270205,1977-10-28
10707,Anthony Carvalho da Cunha,Mariana Barros da Cunha,M,313170310,2006-03-11
10708,Nathan Vargas Costela,Manuella da Cruz CAVALCANTI Costela,M,353950910,2019-10-23
10709,Rodrigo Rodrigues Monteiro,Alexia Dias Monteiro,M,160020410,2024-02-18
10710,Bárbara Porto Sales,Bruna Abreu Sales,F,160005510,2022-02-22
10711,Ana Júlia Viana Barbosa,Antonella Castro Barbosa,F,130190205,1987-06-19
10712,Aurora da Mota DA ROSA Pires,Maria Cecília Nunes Pires,F,411820410,2001-03-05
10713,Joana Fernandes Albuquerque,Milena Montenegro Albuquerque,F,351360305,1996-03-28
10714,Amanda da Luz SÁ Guerra,Hellena Moreira Guerra,F,314530710,2000-01-30
10715,Maria Luiza Albuquerque Barbosa,Maria Luísa Lopes Barbosa,F,431415905,2003-10-24
10716,Maria Julia da Luz FERREIRA Marques,Mirella Nunes Marques,F,500625905,1986-05-04
10717,Carlos Eduardo Araújo Teixeira,Maria Júlia Casa Grande Teixeira,M,320460917,1988-08-23
10718,Maria da Cunha VIANA Lima,Ágatha Rezende Lima,F,230320420,1978-05-24
10719,Ana Cecília Castro Andrade,Melissa da Mata PEIXOTO Andrade,F,210790205,1982-07-20
10720,Laura Freitas Fernandes,Sophia da Mota DA CONCEIÇÃO Fernandes,F,520590105,1991-08-05
10721,Vinícius Novaes Cunha,Ana Liz Novais Cunha,M,430290705,2021-04-29
10722,Maria Julia Costela Pimenta,Alice Alves Pimenta,F,431697230,2006-10-01
10723,Lavínia Sampaio Melo,Maria Flor da Costa MARTINS Melo,F,420530810,1991-05-26
10724,Larissa Duarte da Luz,Laura Rios da Luz,F,430960510,2006-07-24
10725,Melina Fonseca Novais,Maria Luiza da Luz COSTA Novais,F,313430120,2005-02-21
10726,Nina da Luz MACEDO Nogueira,Isabelly Garcia Nogueira,F,130068020,1985-03-09
10727,Olivia Nunes Teixeira,Stephany Carvalho Teixeira,F,291130305,1973-04-25
10728,Maria Alice da Mata BORGES Novais,Yasmin Freitas Novais,F,330170215,2007-04-03
10729,Raul Melo da Rosa,Maria Marques da Rosa,M,500460105,2018-04-17
10730,Maria Isis Oliveira Novaes,Raquel Sá Novaes,F,230150510,1979-06-23
10731,Levi Sales Pimenta,Lunna Mendes Pimenta,M,315415005,2002-02-01
10732,Maria Liz Albuquerque Silveira,Maria Alice Monteiro Silveira,F,431750907,2008-05-06
10733,Josué Melo Nogueira,Sophie Rocha Nogueira,M,220720705,1986-09-08
10734,Helena Costa Souza,Eduarda Peixoto Souza,F,432135210,1994-09-12
10735,Olívia Siqueira Casa Grande,Alícia Ribeiro Casa Grande,F,510269405,2004-03-22
10736,Eloah Aparecida Cardoso,Amanda Peixoto Cardoso,F,431365620,2014-07-06
10737,Nina Mendes Borges,Maria Clara Alves Borges,F,261300805,1995-12-10
10738,Júlia Siqueira da Rosa,Gabriela Brito da Rosa,F,431570127,1970-08-09
10739,João Cunha da Costa,Marcela Sales da Costa,M,320240505,2023-02-09
10740,Nicolas Mendonça Moraes,Isabela Silva Moraes,M,292750705,2023-09-20
10741,Agatha Santos Azevedo,Juliana das Neves COSTA Azevedo,F,230770045,1986-11-05
10742,Cauê Azevedo Nascimento,Cecília Viana Nascimento,M,522005805,2002-07-13
10743,Brayan Pacheco Dias,Yasmin Gomes Dias,M,310285205,1984-03-30
10744,Caleb Fonseca Fernandes,Ana Carolina Cavalcante Fernandes,M,350630005,1991-05-31
10745,Zoe da Costa CARVALHO Rezende,Sarah da Luz FERNANDES Rezende,F,150220205,2015-01-14
10746,Fernanda Cunha Monteiro,Natália Camargo Monteiro,F,230030931,1985-08-30
10747,Maya Pimenta Mendes,Rafaela Mendonça Mendes,F,412700720,1997-03-14
10748,José Pedro Andrade Pereira,Maria Júlia Siqueira Pereira,M,411155505,2005-04-28
10749,Caio Abreu Silveira,Lunna Almeida Silveira,M,210923905,2011-10-25
10750,Maria Eduarda Castro Alves,Bárbara Farias Alves,F,261030105,2021-06-18
10751,Yan Rios Novaes,Caroline Pires Novaes,M,431645115,1974-04-05
10752,Maria Fernanda Carvalho da Rocha,Mariah Campos da Rocha,F,211153205,1975-07-31
10753,Vinicius Aragão da Luz,Lavínia Macedo da Luz,M,310740605,1975-11-02
10754,Lorenzo Mendes Farias,Anna Liz Ribeiro Farias,M,314220505,2022-01-23
10755,Maria Teixeira Pereira,Cecilia Campos Pereira,F,290880410,1994-07-11
10756,Maria Sophia Carvalho Siqueira,Ana Clara Cirino Siqueira,F,430745005,1971-05-19
10757,Vitor Hugo Pires Gonçalves,Heloísa Correia Gonçalves,M,521100805,1994-11-01
10758,Bella Mendes Sousa,Maria Luiza Guerra Sousa,F,230280012,1990-02-19
10759,Murilo Castro Oliveira,Isabelly Ramos Oliveira,M,330310410,2005-03-21
10760,Breno Brito Marques,Isadora Lima Marques,M,230835120,2021-12-19
10761,Hadassa Correia Fonseca,Juliana Porto Fonseca,F,260870110,1970-08-02
10762,Clara Andrade Sampaio,Luana Pimenta Sampaio,F,250130205,2022-08-06
10763,Mariah Alves Cunha,Manuella Silveira Cunha,F,421200720,1983-03-18
10764,Igor da Rosa SÁ Pastor,Maria Borges Pastor,M,210565805,2006-06-21
10765,Lara Marques Sá,Maria Flor Barbosa Sá,F,354500110,2016-10-31
10766,Milena Peixoto Freitas,Sophie Lima Freitas,F,420020005,2017-12-30
10767,Luiz Felipe Cirino Caldeira,Liz Rocha Caldeira,M,314290805,2005-08-25
10768,Enzo da Rosa SAMPAIO Barbosa,Luana Cavalcante Barbosa,M,510625725,2005-12-07
10769,Maria Helena Monteiro Costela,Maria Helena Pastor Costela,F,312590305,2001-11-10
10770,Isaque Rocha Nascimento,Kamilly Montenegro Nascimento,M,352650610,1995-10-11
10771,Cecília Peixoto Cavalcante,Isis Barbosa Cavalcante,F,316980205,2014-02-14
10772,Luiz Otávio Mendes Pimenta,Luana Nascimento Pimenta,M,320016910,2018-12-29
10773,Daniel Viana Gonçalves,Ísis Cirino Gonçalves,M,350600305,1985-05-04
10774,Amanda Pires Aparecida,Catarina Peixoto Aparecida,F,350090715,2003-07-04
10775,Pedro Lucas Pinto Aparecida,Alexia Moreira Aparecida,M,312010205,2018-11-04
10776,Kevin Costela Rezende,Ana Beatriz Lopes Rezende,M,430585020,2015-06-04
10777,André Caldeira Silva,Nicole Alves Silva,M,351580605,1983-03-06
10778,Asafe Fonseca Jesus,Kamilly Abreu Jesus,M,412380830,1971-12-05
10779,Aurora Costela Abreu,Aylla da Mata SAMPAIO Abreu,F,170388305,1988-08-13
10780,Caleb Porto Peixoto,Agatha Ribeiro Peixoto,M,240615505,1975-04-03
10781,Mariane Duarte Martins,Vitória Sales Martins,F,313670284,1994-10-16
10782,Ryan Mendonça Freitas,Laura Montenegro Freitas,M,291930610,1976-08-28
10783,Júlia Farias Lima,Luísa Pastor Lima,F,311630805,1997-01-14
10784,Erick Nascimento Freitas,Maria Alice Souza Freitas,M,231340110,1989-11-20
10785,Melina da Costa CAMPOS Novais,Allana Cassiano Novais,F,230870825,1980-09-09
10786,João Pedro Ribeiro Gomes,Ana Cecília Novaes Gomes,M,352240611,1984-05-18
10787,Maria Luísa Duarte Garcia,Sabrina Garcia Garcia,F,353710705,2022-12-14
10788,Rhavi Lopes da Rosa,Esther Souza da Rosa,M,171900405,1987-01-16
10789,Juliana Monteiro Campos,Maria Laura Duarte Campos,F,320230615,1985-04-27
10790,Maria Laura Sá da Luz,Carolina Brito da Luz,F,410940135,1998-04-15
10791,Maria Helena Barbosa Leão,Lívia da Rosa PACHECO Leão,F,355030820,1982-05-02
10792,Allana Sousa Lima,Olívia Cavalcante Lima,F,315790605,2002-04-25
10793,Davi Luiz Souza Fogaça,Maitê Gonçalves Fogaça,M,432149315,2016-04-09
10794,Natália Silveira Albuquerque,Maria Clara Rocha Albuquerque,F,211150805,2003-12-29
10795,Eduarda Duarte da Mota,Juliana Porto da Mota,F,420785805,1974-09-18
10796,Agatha Cirino Campos,Bárbara da Paz RAMOS Campos,F,520890530,2016-12-31
10797,Sophia Siqueira Viana,Stella Mendonça Viana,F,420090305,1984-02-23
10798,Elisa da Costa SALES Porto,Gabriela Novais Porto,F,312087020,1971-10-22
10799,Ayla Santos Lopes,Fernanda Barbosa Lopes,F,351000520,1978-06-23
10800,Isadora Ferreira Melo,Beatriz da Luz DA ROCHA Melo,F,412470710,2013-12-18
10801,Ryan Mendes Vargas,Stella Jesus Vargas,M,260515220,2020-06-01
10802,Yuri Rodrigues Duarte,Melina Rodrigues Duarte,M,351310805,2015-03-24
10803,Anna Liz Moreira Caldeira,Ana Sophia Melo Caldeira,F,314850910,2019-03-23
10804,Emanuel Alves Azevedo,Eloá Câmara Azevedo,M,290940605,2002-07-08
10805,Ísis Ramos da Cunha,Helena Abreu da Cunha,F,171855005,1977-09-12
10806,Antonella Santos da Conceição,Eloah Vasconcelos da Conceição,F,292820805,2009-04-13
10807,Igor Garcia Montenegro,Ayla Fogaça Montenegro,M,292170805,1999-04-28
10808,Paulo Novais Azevedo,Pietra da Luz VIANA Azevedo,M,170220805,2011-08-03
10809,Matteo Araújo Aparecida,Emanuella Machado Aparecida,M,290390407,2007-02-27
10810,Letícia Pimenta Guerra,Maria Eduarda Pires Guerra,F,330230405,2018-04-14
10811,Vicente Gomes Rocha,Cecília Barros Rocha,M,313115805,1999-10-17
10812,Maria Eduarda Almeida da Mata,Lunna Lima da Mata,F,230360005,2007-12-22
10813,Ísis Rezende Porto,Maria Luísa Novais Porto,F,290920805,2019-04-13
10814,Lívia Rios da Paz,Maria Eduarda Costa da Paz,F,352830405,1980-12-08
10815,Anthony Aparecida Alves,Brenda Caldeira Alves,M,251615105,1974-06-22
10816,Ravi Lucca Nascimento Costela,Ayla da Rosa DIAS Costela,M,230060610,1984-12-12
10817,João Miguel Azevedo Câmara,Maria Júlia Camargo Câmara,M,320230610,2019-10-05
10818,Melissa Pacheco Cirino,Marcela Leão Cirino,F,431070210,2016-05-30
10819,Vitória Viana Sampaio,Mirella Ramos Sampaio,F,150760710,2017-01-29
10820,Luna Nogueira Albuquerque,Elisa Barbosa Albuquerque,F,421210605,2003-06-16
10821,Yago Mendes Duarte,Melissa da Conceição RIBEIRO Duarte,M,261620905,2017-04-27
10822,Caleb Macedo Sales,Isabel das Neves MENDES Sales,M,421360920,2009-03-01
10823,Murilo Jesus Mendes,Esther Santos Mendes,M,330060530,1991-02-12
10824,Luigi da Luz PACHECO Novaes,Sarah Rodrigues Novaes,M,312610915,2016-08-05
10825,Clara Gonçalves Azevedo,Raquel Câmara Azevedo,F,510140705,1988-11-07
10826,Emilly Araújo das Neves,Giovanna Cavalcanti das Neves,F,410725605,1989-08-19
10827,Luiz Miguel Guerra Costela,Sophia Carvalho Costela,M,230075440,2016-09-29
10828,Asafe Moraes Viana,Luna Macedo Viana,M,431610510,2004-10-02
10829,Lorenzo Novaes Pires,Letícia Vasconcelos Pires,M,291240010,2002-10-23
10830,Ian Vieira Casa Grande,Milena da Mata SAMPAIO Casa Grande,M,520890545,2003-06-12
10831,Ian Fernandes da Rosa,Alice Carvalho da Rosa,M,311870005,2014-04-20
10832,Bryan Melo Monteiro,Zoe Câmara Monteiro,M,354150505,1971-06-11
10833,Ágatha Costa das Neves,Ana Julia Borges das Neves,F,330115710,2017-12-25
10834,Valentim da Rosa GONÇALVES Mendonça,Maria Sophia Caldeira Mendonça,M,432200420,1990-09-11
10835,Joaquim Ferreira Teixeira,Heloisa Cardoso Teixeira,M,231010005,1980-09-09
10836,Sara Lima Marques,Ana Beatriz Garcia Marques,F,410305705,1972-04-29
10837,Ana Luiza Montenegro Azevedo,Emilly Monteiro Azevedo,F,231300535,1981-03-16
10838,Gustavo Silva Brito,Catarina Jesus Brito,M,311750410,2021-08-19
10839,Paulo Martins Peixoto,Maria Alice Machado Peixoto,M,330187605,1983-02-26
10840,Ravi Lucca Machado Andrade,Ísis Moraes Andrade,M,352640705,2019-05-28
10841,Davi Luiz Santos Peixoto,Alícia da Mata CORREIA Peixoto,M,431261750,1996-07-05
10842,Breno Garcia Azevedo,Raquel Pimenta Azevedo,M,431240127,2006-02-10
10843,Nicolas Almeida Farias,Heloísa da Cunha MORAES Farias,M,510060705,2012-02-24
10844,Catarina Mendes Siqueira,Maria Liz da Mota MORAES Siqueira,F,230190112,2002-04-13
10845,Rafael Leão Santos,Helena Farias Santos,M,110013005,2015-09-09
10846,Raul Cavalcante Guerra,Maitê Vasconcelos Guerra,M,521810205,1988-05-27
10847,Maria Luiza Guerra Vasconcelos,Ísis Gonçalves Vasconcelos,F,313670280,1973-07-03
10848,Aurora Camargo da Conceição,Maria Ribeiro da Conceição,F,350395005,2007-07-23
10849,Alícia Garcia Fonseca,Lara da Conceição MONTENEGRO Fonseca,F,432147705,1992-05-01
10850,Stella Farias Silveira,Maria Sophia Rios Silveira,F,412810405,1988-04-14
10851,Rafaela Montenegro Mendonça,Maria Alice Correia Mendonça,F,292190610,2005-01-13
10852,Danilo Rodrigues Moura,Ana Luiza Melo Moura,M,352900520,1989-07-11
10853,Nicolas da Rocha SIQUEIRA da Conceição,Milena Sampaio da Conceição,M,260310805,2011-02-13
10854,Yasmin Porto Câmara,Luna Moreira Câmara,F,411730510,2004-11-16
10855,Milena Fogaça da Cunha,Mirella Porto da Cunha,F,311205905,2001-12-24
10856,Ana Sophia Ferreira Ribeiro,Ana Liz Santos Ribeiro,F,231410210,1974-10-04
10857,Lorenzo da Mota CAVALCANTI Gomes,Bruna Carvalho Gomes,M,430130510,1988-12-05
10858,Benicio Mendes Ribeiro,Ana Carolina Albuquerque Ribeiro,M,211160705,2020-02-16
10859,Maria Júlia Martins Nogueira,Isabela da Conceição CARVALHO Nogueira,F,270170405,1992-02-23
10860,Alexia Ramos Nunes,Sofia Costa Nunes,F,320320523,1992-11-27
10861,Sarah Rios Monteiro,Joana Siqueira Monteiro,F,313665215,2014-07-05
10862,Breno Santos Moreira,Ana Carolina Fonseca Moreira,M,330510905,1983-07-06
10863,Juliana Alves Guerra,Sofia da Mata APARECIDA Guerra,F,291590805,1974-05-29
10864,Benício Ribeiro da Mota,Luísa da Rosa PEIXOTO da Mota,M,314210625,2004-08-08
10865,Breno Costa Porto,Letícia Nogueira Porto,M,410740520,2007-10-27
10866,Anthony Gonçalves da Luz,Gabrielly da Cunha DIAS da Luz,M,311650615,2005-02-05
10867,Noah Cirino Nascimento,Julia Freitas Nascimento,M,270450005,2004-06-15
10868,Amanda Freitas Peixoto,Bella Cavalcante Peixoto,F,330020908,2015-03-22
10869,João Felipe Viana da Rocha,Luna Albuquerque da Rocha,M,130230605,2004-07-08
10870,Luiza da Mota ABREU Dias,Mariana Pinto Dias,F,316210407,1976-12-13
10871,Isabel da Rocha VIEIRA Borges,Ana Carolina Cassiano Borges,F,420590205,2023-07-03
10872,Sara Aragão Aparecida,Alícia Teixeira Aparecida,F,320090427,1970-05-06
10873,Leonardo Cirino da Costa,Maria Isis Abreu da Costa,M,354990415,1981-09-16
10874,Maria Júlia Cassiano Brito,Aylla Albuquerque Brito,F,430165127,1986-12-05
10875,Gabriel da Costa MACEDO Teixeira,Clarice Nunes Teixeira,M,430245105,1993-01-25
10876,Pedro Miguel Andrade Rios,Mariana Cassiano Rios,M,430710430,2003-03-12
10877,Mirella das Neves PEIXOTO da Rocha,Ana Carolina Borges da Rocha,F,354400405,2006-09-10
10878,Josué Vasconcelos da Luz,Lívia Mendes da Luz,M,330610720,2010-09-07
10879,Bella Carvalho Leão,Stephany Vasconcelos Leão,F,315250105,2003-06-06
10880,Théo Cavalcanti da Luz,Ana Lívia Pastor da Luz,M,431237745,1993-06-26
10881,Kevin Oliveira Alves,Alice Cirino Alves,M,411190205,1995-08-03
10882,Maria Liz Farias Abreu,Maria Sophia da Mota SOUZA Abreu,F,291840705,1991-07-15
10883,Alícia Porto Silva,Beatriz Azevedo Silva,F,261170515,2005-10-07
10884,Yuri Sales Marques,Mariah Caldeira Marques,M,420005105,1998-09-01
10885,Gael Rodrigues Câmara,Alexia Souza Câmara,M,410670405,1986-01-16
10886,Mariane da Rosa SANTOS Rodrigues,Fernanda da Rosa ABREU Rodrigues,F,354260205,2022-06-06
10887,Matheus Porto da Luz,Isabel Castro da Luz,M,313840110,1988-10-12
10888,Joaquim Teixeira Camargo,Maria Helena Ferreira Camargo,M,150100605,2001-01-19
10889,Fernanda Guerra Cunha,Julia Melo Cunha,F,315620505,2009-11-26
10890,Maria Helena Pastor Rios,Maria Cecília Fernandes Rios,F,251465105,2016-11-06
10891,Alexandre Lima Casa Grande,Olivia Gonçalves Casa Grande,M,150210305,1980-01-26
10892,Maria Eduarda Souza Pereira,Rafaela Moreira Pereira,F,350750615,2017-06-11
10893,Julia Campos Leão,Olívia Pereira Leão,F,510370005,2001-06-29
10894,Alice da Cruz DA CRUZ Souza,Catarina Montenegro Souza,F,314390640,2014-08-15
10895,Kevin Rios Viana,Juliana Mendonça Viana,M,510650510,2006-12-09
10896,Gabrielly da Mota DA ROSA Nogueira,Heloísa Costela Nogueira,F,316270820,1986-12-28
10897,Maria Júlia Jesus Nogueira,Natália Castro Nogueira,F,355030812,2003-05-25
10898,Maria Fernanda Nunes Pinto,Maria Alice Moraes Pinto,F,431306005,1995-07-05
10899,Jade Albuquerque Garcia,Isabela Mendes Garcia,F,290840815,1988-12-25
10900,Luiz Fernando da Costa MOURA Albuquerque,Maria Cecília Casa Grande Albuquerque,M,315430910,1972-12-02
10901,Joaquim Fernandes Correia,Amanda Cunha Correia,M,315970410,1975-08-13
10902,Eduarda Freitas Rios,Giovanna Nunes Rios,F,353400505,1997-05-03
10903,Melissa Sá Martins,Sofia Fogaça Martins,F,291900905,1990-05-27
10904,Gabriel da Rosa PIRES Cardoso,Ana Cecília Teixeira Cardoso,M,261600110,2007-11-10
10905,Manuella Novaes Dias,Letícia da Mota AZEVEDO Dias,F,350850405,1985-06-14
10906,Antonella Barros Rodrigues,Maria Isis Macedo Rodrigues,F,431115505,1983-05-03
10907,Vitor Hugo da Cunha RAMOS Ribeiro,Luísa Almeida Ribeiro,M,500110205,2007-11-21
10908,Melina Vasconcelos Costa,Ana Sophia Camargo Costa,F,310610110,1985-04-20
10909,Antônio Vieira da Luz,Beatriz Souza da Luz,M,250330820,1997-01-13
10910,Julia Barros Gomes,Antonella Alves Gomes,F,520510908,1970-02-23
10911,Brayan da Cunha SALES Aparecida,Maria Fernanda Pereira Aparecida,M,171900405,1982-11-07
10912,Sofia Farias Ramos,Ana Julia Costela Ramos,F,500440320,2016-01-21
10913,Eloá Pastor Barros,Ana Julia Lima Barros,F,290650105,2023-04-27
10914,Olívia Castro Brito,Luna Castro Brito,F,411065605,1985-04-25
10915,Ana Liz Cirino Alves,Maria Flor Viana Alves,F,150610405,1970-03-21
10916,Larissa Costela da Conceição,Ester Novais da Conceição,F,510520015,2001-02-26
10917,Ana Beatriz Cavalcanti Castro,Sofia Albuquerque Castro,F,432260815,1993-02-14
10918,Maria Sophia da Mata DA COSTA Mendes,Emanuelly Moura Mendes,F,251720905,1981-02-07
10919,Isabelly Costa Cavalcanti,Maria Alice Peixoto Cavalcanti,F,330510905,1993-07-04
10920,Cecilia Garcia Costa,Maria Fernanda Lopes Costa,F,312737005,1980-08-15
10921,Henry Marques Borges,Bárbara Camargo Borges,M,421210610,1996-10-31
10922,Pietra Pires Cirino,Maria Flor da Costa CAVALCANTE Cirino,F,412000205,2006-07-28
10923,Bianca Porto Sá,Yasmin Rocha Sá,F,431973705,2004-11-22
10924,Olivia Carvalho Casa Grande,Giovanna Rezende Casa Grande,F,150658305,1998-06-21
10925,Pietro Pimenta Guerra,Júlia Casa Grande Guerra,M,353870905,1994-02-14
10926,Nathan Casa Grande Barbosa,Júlia Garcia Barbosa,M,430087705,2015-09-11
10927,Maria Helena da Rocha SOUSA Machado,Bárbara Camargo Machado,F,210610205,2000-01-18
10928,Nicolas Vargas da Rosa,Manuella da Conceição COSTELA da Rosa,M,320435105,2005-03-09
10929,João Gabriel Nascimento Cavalcante,Hadassa Lopes Cavalcante,M,420535705,2020-05-17
10930,Lorenzo Cirino Moura,Lavínia Moreira Moura,M,310730750,2002-01-22
10931,Maria Luísa Caldeira Monteiro,Luiza Peixoto Monteiro,F,230130710,1987-07-03
10932,Matheus Cardoso Abreu,Sara da Cunha GOMES Abreu,M,293317425,1995-12-21
10933,Manuella Pereira Cunha,Ana Cecília Fernandes Cunha,F,310640815,1972-01-03
10934,Yago Mendes Castro,Ana Sophia Cassiano Castro,M,431020740,1980-03-18
10935,Benicio Novaes Vasconcelos,Mariana Camargo Vasconcelos,M,230080410,2006-11-13
10936,Ísis Moreira Câmara,Juliana Azevedo Câmara,F,231350007,2021-09-28
10937,Maria Cecília Camargo Casa Grande,Ana Liz Vargas Casa Grande,F,310110225,2013-08-18
10938,Sophia Cavalcante Santos,Beatriz Silva Santos,F,350550005,2021-06-09
10939,Yago Vieira Camargo,Cecilia Correia Camargo,M,210150905,1994-09-17
10940,Ana Liz da Costa CASA GRANDE da Mata,Maysa Duarte da Mata,F,421507505,1976-02-14
10941,Thiago da Conceição SANTOS Teixeira,Yasmin Ramos Teixeira,M,353657005,2022-01-09
10942,Alexia Câmara Jesus,Melissa Moraes Jesus,F,270235505,1978-12-11
10943,Ana Carolina Sales Cavalcante,Rebeca Marques Cavalcante,F,220740505,1970-07-04
10944,Agatha Melo Nogueira,Maria Alice Casa Grande Nogueira,F,410140815,1983-10-28
10945,Ana Clara Mendonça Cirino,Maria Julia Costa Cirino,F,412120815,1985-09-11
10946,João Vitor Macedo Monteiro,Carolina Carvalho Monteiro,M,170255405,1998-05-07
10947,Joana da Mota CORREIA da Cunha,Emilly Cavalcante da Cunha,F,140030805,2016-12-28
10948,Beatriz Pacheco Freitas,Ágatha Pastor Freitas,F,261130915,2014-08-31
10949,Luiza Teixeira Novaes,Laura Pacheco Novaes,F,130300705,2023-10-14
10950,Renan Leão da Rocha,Maria Sophia Porto da Rocha,M,350395005,2001-03-22
10951,Francisco Camargo da Cunha,Mariah da Paz VASCONCELOS da Cunha,M,261290110,2000-04-28
10952,Daniel Barbosa Gomes,Maria Eduarda Novaes Gomes,M,330095110,1987-07-10
10953,João Miguel Rios Ferreira,Lara da Costa MACHADO Ferreira,M,314537210,1972-05-26
10954,Arthur Miguel Azevedo Rocha,Vitória Campos Rocha,M,260830505,2019-11-15
10955,Isadora Almeida Fonseca,Anna Liz Mendonça Fonseca,F,421960610,2013-06-11
10956,Beatriz Mendes Sales,Maria Sophia Oliveira Sales,F,510517605,1981-08-29
10957,Luara Casa Grande Campos,Stephany Marques Campos,F,510730505,1971-01-14
10958,Eduardo da Rocha VIANA da Rocha,Manuella Sá da Rocha,M,230400415,1999-01-01
10959,Bruno Moura da Paz,Maria Helena Nunes da Paz,M,251360420,2015-02-25
10960,Nicole Jesus da Costa,Lorena Porto da Costa,F,250415705,1971-10-22
10961,Renan Novais Costela,Ana Júlia Borges Costela,M,170370105,2018-07-27
10962,Maria Isis Costa da Rosa,Luana Santos da Rosa,F,350945205,2017-04-20
10963,Ana Liz Ribeiro Sales,Luara Teixeira Sales,F,430280810,2009-09-22
10964,Lívia Silva Rios,Gabriela Brito Rios,F,130220705,1983-12-20
10965,Thales da Mata SIQUEIRA Machado,Eduarda da Mota COSTA Machado,M,291240020,2008-10-30
10966,José Pastor da Luz,Maria Cecília Vieira da Luz,M,110011410,1978-02-14
10967,Giovanna Sá da Rocha,Beatriz Souza da Rocha,F,150020615,1978-08-22
10968,Ravy Caldeira Moraes,Maria Flor da Cunha MENDONÇA Moraes,M,315560325,1975-02-20
10969,Alana Câmara Mendes,Eduarda Novaes Mendes,F,421790705,1988-08-30
10970,Luna Pinto Gomes,Alexia Rezende Gomes,F,292800020,2003-03-08
10971,Oliver Cunha Jesus,Maria da Conceição PEREIRA Jesus,M,314053005,1975-09-03
10972,Kevin Monteiro Dias,Daniela Alves Dias,M,230550613,1986-02-04
10973,Erick Alves da Mota,Cecília Aragão da Mota,M,317000805,2013-07-19
10974,Sabrina Pimenta Pimenta,Olivia Mendonça Pimenta,F,316210405,2005-01-02
10975,Valentim da Luz SÁ da Cunha,Giovanna Farias da Cunha,M,420610805,1999-01-24
10976,Enzo Gabriel Ferreira Vieira,Anna Liz Barros Vieira,M,412100015,2010-12-29
10977,Pietro Freitas da Cruz,Ana Vitória Rios da Cruz,M,230400417,1981-10-17
10978,Vitória Camargo Rios,Ana Clara Pinto Rios,F,292530305,1978-10-07
10979,Augusto Jesus Farias,Valentina Vasconcelos Farias,M,412610805,1991-04-14
10980,Helena Moraes Sá,Ana Clara da Cunha FOGAÇA Sá,F,521310305,1990-03-25
10981,Gael Henrique Moreira Mendonça,Sara Almeida Mendonça,M,412170310,1989-12-19
10982,Eloah Azevedo da Cunha,Maria Porto da Cunha,F,220552405,1997-01-26
10983,Vinicius Rios Almeida,Juliana Teixeira Almeida,M,510525905,2008-04-14
10984,Nicolas Azevedo Fonseca,Joana Rios Fonseca,M,241140305,1994-12-03
10985,Arthur Gabriel Dias Macedo,Aurora Castro Macedo,M,412160415,1989-06-29
10986,Hadassa Azevedo Almeida,Emilly Aparecida Almeida,F,420520910,2014-01-31
10987,Luiz Miguel Cassiano Sá,Luna Farias Sá,M,510621615,1994-03-13
10988,Luiz Otávio Macedo Nogueira,Ana Monteiro Nogueira,M,230200830,2012-03-21
10989,Emanuelly Abreu Casa Grande,Nina Lima Casa Grande,F,210410705,1982-07-20
10990,Luísa Monteiro Pires,Olívia Santos Pires,F,431043925,1998-05-22
10991,Gabrielly Cavalcanti Rodrigues,Lavínia Pacheco Rodrigues,F,411520010,2005-12-01
10992,Samuel Melo Pacheco,Maria Souza Pacheco,M,430550405,1985-01-28
10993,Samuel Cassiano Rocha,Alexia Fonseca Rocha,M,330340130,1983-09-21
10994,Maya Moraes Lopes,Heloísa Martins Lopes,F,251510405,2011-05-18
10995,Bianca Novais Cirino,Luara Melo Cirino,F,231220505,2021-08-23
10996,Manuella Câmara Guerra,Emanuelly Fogaça Guerra,F,290515610,2015-07-08
10997,Amanda Ferreira Câmara,Daniela Fogaça Câmara,F,432032115,1982-08-02
10998,Manuela Correia da Conceição,Carolina das Neves PEIXOTO da Conceição,F,150795305,1975-05-08
10999,Lavínia Aparecida Pereira,Marcela Peixoto Pereira,F,430055410,2014-07-19
11000,Enzo Gabriel Melo Rios,Emanuelly Lima Rios,M,411830305,1982-03-21
11001,Luiz Fernando da Mata LIMA Jesus,Maria Alice Moreira Jesus,M,240960505,1976-10-31
